Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-18;#341;Ebene C - 2021-01-29 20.18.51.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23450.2,3703.1,0.866,16.5693,14.6157,0.9747,1,4.9066,4.3349,166.8714,45.9357,0.9938,1,14.9029,14.3012,0.0993,0.4732,0.4581,0.0799,0.8568,0.1622,0.0791,0.0448,-0.0877,0.7102,0.1055,0.087,0.0351,-0.0527,0.5769,0.1257,0.119,0.0619,-0.0877,0.8568,0.1636,0.2615,0.2735,0.0188,0.4714,0.0953,0.1189,0.1081,-0.092,0.4487,0.1067,0.1111,0.1236,-0.0477,0.3272,0.0952,0.1333,0.1289,-0.092,0.4714,0.114
V19-18;#341;Ebene C - 2021-01-29 20.18.51.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23481,3694.8,0.811,13.6048,13.389,0.9537,1,4.7144,3.7641,157.6413,44.694,0.9917,1,14.7052,13.6835,0.0863,0.2074,0.2172,-0.0082,0.4458,0.1023,0.0432,0.004,-0.1056,0.534,0.0775,0.0487,0.0085,-0.045,0.311,0.0726,0.0573,0.007,-0.1056,0.534,0.0922,0.1734,0.1903,-0.0525,0.332,0.0819,0.0595,0.0219,-0.0908,0.3879,0.0774,0.064,0.0381,-0.0348,0.2535,0.0722,0.0693,0.0344,-0.0908,0.3879,0.0841
V19-18;#341;Ebene C - 2021-01-29 20.18.51.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23447.5,3711.7,0.7644,9.4811,11.2307,0.9446,1,3.835,3.3532,142.7935,42.5385,0.9916,1,13.8256,13.2849,0.0664,0.6408,0.5723,0.0234,1.4121,0.3207,0.0432,0,-0.1064,1.051,0.1223,0.0348,0,-0.0234,0.4419,0.085,0.0827,0,-0.1064,1.4121,0.2069,0.1745,0.2905,-0.3299,0.5073,0.2398,0.0443,0,-0.1379,0.4671,0.0885,0.043,0.0006,-0.0096,0.4018,0.086,0.0529,0,-0.3299,0.5073,0.1102
V19-18;#341;Ebene C - 2021-01-29 20.18.51.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23448.8,3713.7,0.7578,3.707,8.0388,0.7209,0.8821,2.9387,1.9742,120.624,39.2004,0.9864,0.9982,12.9329,11.955,0.0307,0.6114,0.6417,0.2144,1.051,0.2054,0.0801,0,-0.106,1.4166,0.2017,0.0226,0,-0.0217,0.2876,0.0576,0.0962,0,-0.106,1.4166,0.2215,0.2222,0.241,-0.0633,0.4677,0.1232,0.0546,0,-0.3383,0.4998,0.1124,0.0231,0,-0.0928,0.2739,0.0622,0.0597,0.0011,-0.3383,0.4998,0.1163
V19-18;#341;Ebene C - 2021-01-29 20.18.51.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23464.1,3719.6,0.7459,19.9845,17.7534,0.7968,0.9634,6.6458,4.4496,185.7508,48.9857,0.9728,0.9977,16.6109,14.4503,0.1076,0.6053,0.5932,0.0678,1.165,0.2084,0.0931,0.0313,-0.097,1.3564,0.1481,0.0715,0.0131,-0.0682,0.4955,0.107,0.1481,0.0601,-0.097,1.3564,0.2223,0.2927,0.2818,-0.0186,0.6139,0.1106,0.1214,0.1008,-0.0941,0.5164,0.1173,0.11,0.083,-0.0171,0.401,0.1127,0.1398,0.1291,-0.0941,0.6139,0.1281
V19-18;#341;Ebene C - 2021-01-29 20.18.51.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23467.4,3724.4,0.7347,4.0622,7.4669,0.9156,1,2.6134,2.083,118.697,38.7747,0.9921,1,12.6021,12.0309,0.0342,0.6787,0.62,0.1861,1.3661,0.2987,0.1171,0.0396,-0.1195,1.165,0.1879,0.0905,0.0032,-0.0663,1.1338,0.2213,0.1365,0.0455,-0.1195,1.3661,0.2183,0.2491,0.1979,0.0128,0.5093,0.1443,0.1336,0.1032,-0.0989,0.6242,0.1305,0.0793,0.0145,-0.0052,0.5037,0.1195,0.1376,0.1107,-0.0989,0.6242,0.1326
V19-18;#341;Ebene C - 2021-01-29 20.18.51.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23439.1,3702.7,0.7307,9.2654,11.8477,0.8295,1,4.6484,2.5699,145.7722,43.1569,0.9835,1,14.6383,12.57,0.0636,0.3949,0.3714,0.1119,0.7376,0.15,0.0741,0.0138,-0.0609,0.6995,0.1126,0.0259,0,-0.0131,0.3284,0.0644,0.0945,0.0288,-0.0609,0.7376,0.1393,0.165,0.1495,0.0224,0.3893,0.0756,0.0686,0.0315,-0.032,0.4401,0.081,0.013,0,-0.032,0.1387,0.0327,0.0747,0.0477,-0.032,0.4401,0.0841
V19-18;#341;Ebene C - 2021-01-29 20.18.51.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23465.5,3678.9,0.7101,44.1342,24.2346,0.9443,1,8.9115,6.5199,242.356,55.5513,0.9869,1,18.9035,16.466,0.1821,0.0786,0.0416,-0.0625,0.5925,0.1166,0.0675,0.0092,-0.0834,0.7561,0.109,0.0498,0.0049,-0.02,0.2547,0.0761,0.0695,0.0143,-0.0834,0.7561,0.1105,0.1119,0.1073,-0.0651,0.2766,0.0599,0.0638,0.0311,-0.0782,0.4117,0.0774,0.0598,0.026,-0.0265,0.2631,0.074,0.0726,0.0514,-0.0782,0.4117,0.0768
V19-18;#341;Ebene C - 2021-01-29 20.18.51.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23480.1,3711.7,0.6663,9.7574,12.7212,0.7577,0.9737,5.218,2.5637,150.5821,44.0171,0.9767,0.9989,15.2124,12.5091,0.0648,0.3576,0.3729,0.0421,0.633,0.1267,0.0561,0.0034,-0.1452,0.5444,0.1051,0.054,0,-0.0853,0.5444,0.1067,0.0755,0.0068,-0.1452,0.633,0.1297,0.1702,0.1713,-0.0182,0.3669,0.0879,0.086,0.0481,-0.1242,0.4734,0.0994,0.0877,0.0213,-0.0054,0.4453,0.1087,0.0914,0.0567,-0.1242,0.4734,0.1008
V19-18;#341;Ebene C - 2021-01-29 20.18.51.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23443.7,3701.3,0.6546,3.7672,7.4229,0.8592,1,2.9553,1.7317,118.4467,38.7584,0.9908,1,12.9506,11.6904,0.0318,0.4056,0.436,0.04,0.7032,0.1619,0.1121,0.0541,-0.0609,0.8568,0.1603,0.1363,0.0893,-0.0098,0.7379,0.1701,0.1217,0.0601,-0.0609,0.8568,0.1686,0.17,0.169,0.0294,0.3244,0.0624,0.0911,0.0811,-0.0527,0.4602,0.0896,0.1023,0.1001,-0.0509,0.4602,0.1132,0.0936,0.0843,-0.0527,0.4602,0.09
