Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2379.2,5135.1,0.7935,4.5009,7.7817,0.934,1,2.6281,2.3362,120.787,39.0993,0.9929,1,12.6288,12.296,0.0373,0.5287,0.576,0.046,0.759,0.175,0.0906,0.034,-0.1255,0.7909,0.14,0.0971,0.0551,-0.0658,0.5937,0.1247,0.107,0.0394,-0.1255,0.7909,0.164,0.1425,0.162,-0.1042,0.3938,0.1182,0.1135,0.1044,-0.2026,0.3994,0.0956,0.0769,0.0623,-0.1425,0.2325,0.0834,0.1145,0.1058,-0.2026,0.3994,0.0967
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2374.4,5097.1,0.7927,5.2271,8.4379,0.9226,1,3.1411,2.2108,124.8636,39.763,0.9924,1,13.1341,12.1693,0.0419,0.5663,0.5581,0.1326,0.9604,0.1739,0.0868,0.0508,-0.1475,0.7337,0.1218,0.1092,0.0473,-0.1355,0.7337,0.1553,0.1061,0.0585,-0.1475,0.9604,0.1559,0.0228,0.0296,-0.275,0.3239,0.1178,0.1217,0.1174,-0.192,0.4417,0.1073,0.0997,0.0645,-0.1235,0.4417,0.1113,0.1178,0.1134,-0.275,0.4417,0.1095
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2370.6,5143.1,0.7898,6.8509,9.5834,0.9374,1,3.4887,2.5984,131.9421,40.8813,0.9921,1,13.4742,12.57,0.0519,0.5727,0.5466,0.2018,1.0954,0.2301,0.1279,0.0636,-0.0986,0.7823,0.1691,0.1447,0.0767,-0.0627,0.7576,0.1845,0.1514,0.0787,-0.0986,1.0954,0.1995,0.1801,0.1771,-0.0011,0.4336,0.1013,0.1322,0.1358,-0.1968,0.4026,0.1003,0.1071,0.1259,-0.1254,0.3103,0.0957,0.1347,0.1374,-0.1968,0.4336,0.1009
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2358,5165.3,0.7885,7.2578,9.8072,0.9483,1,3.4906,2.7806,133.7254,41.1336,0.9932,1,13.4823,12.732,0.0543,0.6665,0.7359,0.0995,1.0749,0.2273,0.1252,0.0545,-0.1432,1.1053,0.1861,0.0855,0.0096,-0.0607,1.1053,0.1908,0.1541,0.0641,-0.1432,1.1053,0.2243,0.2142,0.222,-0.0722,0.4507,0.1119,0.1154,0.0976,-0.1378,0.4558,0.1058,0.0838,0.0574,-0.0871,0.317,0.0891,0.1207,0.1031,-0.1378,0.4558,0.1084
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2358.3,5114.6,0.7842,6.6576,9.5457,0.9182,1,3.5379,2.5061,131.6531,40.855,0.9912,1,13.5345,12.4593,0.0506,0.5466,0.549,0.1412,0.9557,0.1896,0.1354,0.0607,-0.1098,1.3792,0.1914,0.1424,0.1161,-0.0817,0.7596,0.1767,0.1559,0.0731,-0.1098,1.3792,0.2112,0.1499,0.1564,-0.2257,0.5143,0.1652,0.1111,0.0859,-0.1137,0.5498,0.1136,0.1167,0.1157,-0.0508,0.3993,0.1025,0.113,0.0892,-0.2257,0.5498,0.117
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2353.3,5092.8,0.7823,24.8057,18.6293,0.8982,0.9924,6.8651,4.9736,195.0311,49.9327,0.983,0.9992,16.8523,14.9377,0.1272,0.8498,0.8724,0.053,1.5614,0.251,0.0749,0.0079,-0.0998,0.8052,0.1277,0.0243,0,-0.0787,0.3024,0.0591,0.1732,0.0192,-0.0998,1.5614,0.2979,0.1996,0.2294,-0.2828,0.601,0.187,0.0652,0.0128,-0.2568,0.5971,0.1001,0.0455,0.0055,-0.0151,0.3604,0.0763,0.0823,0.0209,-0.2828,0.601,0.1232
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2354.7,5165.2,0.7766,5.3265,8.4941,0.9277,1,2.9971,2.4049,125.3223,39.8307,0.9927,1,12.9908,12.3483,0.0425,0.5814,0.6224,0.0825,0.9413,0.1988,0.1316,0.0242,-0.1407,1.07,0.2125,0.0933,0.0092,-0.0553,0.9503,0.1692,0.1507,0.0323,-0.1407,1.07,0.2305,0.2093,0.2077,-0.0059,0.4092,0.1023,0.1018,0.0765,-0.1412,0.663,0.109,0.0826,0.0488,-0.0863,0.3935,0.099,0.1064,0.0839,-0.1412,0.663,0.1108
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2417.1,5047,0.7694,7.3231,9.8438,0.9497,1,3.541,2.6723,134.0837,41.1805,0.9936,1,13.5411,12.6278,0.0546,0.1971,0.1924,-0.0159,0.4089,0.093,0.0464,0.0038,-0.1137,0.9034,0.0884,0.0591,0.0065,-0.082,0.9034,0.1258,0.0546,0.005,-0.1137,0.9034,0.0951,0.0607,0.0552,-0.1191,0.2973,0.0817,0.0512,0.0095,-0.1105,0.5833,0.0774,0.0706,0.0071,-0.0172,0.4937,0.1025,0.0518,0.0108,-0.1191,0.5833,0.0777
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2384.9,5059.1,0.7602,8.3582,11.4657,0.799,0.9758,4.5244,2.4151,142.9838,42.7809,0.9817,0.9988,14.517,12.3682,0.0585,0.521,0.4485,0.0397,1.4181,0.2682,0.0715,0.0366,-0.1391,0.6121,0.1028,0.0739,0.0255,-0.1391,0.4334,0.1044,0.0981,0.0465,-0.1391,1.4181,0.1594,0.1064,0.0875,-0.1985,0.5377,0.1561,0.1129,0.1084,-0.1686,0.4735,0.1075,0.0698,0.0398,-0.1171,0.4618,0.0901,0.1125,0.1079,-0.1985,0.5377,0.111
V19-18;#341;Ebene D - 2021-01-29 20.16.17.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2385.8,5081.6,0.7541,8.4989,11.2502,0.8438,1,4.4142,2.5089,141.7964,42.5324,0.985,1,14.402,12.4831,0.0599,0.4875,0.4773,0.0403,1.0246,0.2191,0.1533,0.0765,-0.0974,1.1459,0.2073,0.1373,0.0547,-0.058,0.9491,0.2115,0.1728,0.0903,-0.0974,1.1459,0.2222,0.1883,0.1988,-0.0637,0.4599,0.1064,0.0981,0.0819,-0.1945,0.469,0.0975,0.0854,0.0607,-0.1277,0.4429,0.0913,0.1034,0.0869,-0.1945,0.469,0.1003
