Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3642.3,2558.3,0.8783,20.9832,17.0549,0.9065,0.9931,6.1537,4.8366,183.4128,48.3534,0.9858,0.9994,16.1525,14.791,0.1144,0.3254,0.3312,0.1272,0.4721,0.071,0.0515,0.0012,-0.0228,0.4188,0.0879,0.0278,0.003,-0.0136,0.2287,0.0516,0.0831,0.0055,-0.0228,0.4721,0.1227,0.3105,0.3176,0.097,0.4518,0.0614,0.0608,0.0031,-0.0338,0.3929,0.0938,0.0306,0.0025,-0.0082,0.2971,0.0568,0.0895,0.0085,-0.0338,0.4518,0.1207
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2742.8,2435.4,0.8781,16.4534,14.9941,0.9197,1,5.6532,3.835,168.5276,46.3021,0.9878,1,15.6517,13.8063,0.0976,0.3651,0.3615,0.0992,0.7223,0.112,0.0527,0.0161,-0.0571,0.4029,0.0706,0.0452,0.0055,-0.0194,0.2315,0.0592,0.0835,0.0285,-0.0571,0.7223,0.12,0.3541,0.358,0.1216,0.5672,0.0784,0.0781,0.0365,-0.0127,0.5335,0.0926,0.0822,0.027,0,0.3167,0.0967,0.1053,0.0541,-0.0127,0.5672,0.123
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3564.1,2545.6,0.8778,17.2658,14.9914,0.9654,1,5.2007,4.4102,169.5338,46.3144,0.9932,1,15.2,14.3686,0.1018,0.3262,0.3086,0.0833,0.5682,0.093,0.106,0.0349,-0.0384,0.6095,0.14,0.1024,0.0159,-0.0234,0.462,0.1389,0.1284,0.0598,-0.0384,0.6095,0.1514,0.3122,0.3102,0.1416,0.5182,0.0624,0.123,0.0787,-0.0072,0.5535,0.1304,0.1046,0.0478,-0.0052,0.3869,0.1223,0.1423,0.1094,-0.0072,0.5535,0.1376
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3505,2601.7,0.8776,31.775,20.2716,0.9717,1,6.9697,5.8603,210.3385,51.596,0.9929,1,16.9687,15.8272,0.1511,0.2851,0.2839,0.0682,0.5657,0.0665,0.0785,0.0418,-0.0779,0.4708,0.1004,0.1064,0.0442,-0.0294,0.4486,0.1309,0.1099,0.0605,-0.0779,0.5657,0.1214,0.2631,0.2696,0.045,0.4603,0.056,0.0916,0.0736,-0.0679,0.496,0.091,0.1314,0.1042,-0.0074,0.4368,0.12,0.1177,0.0922,-0.0679,0.496,0.1063
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3569.3,2556.5,0.8776,19.1604,15.7502,0.9706,1,5.3359,4.7389,175.0658,47.0599,0.9934,1,15.3284,14.6871,0.1094,0.3745,0.3393,0.1361,0.7526,0.109,0.1197,0.0619,-0.0753,0.6099,0.142,0.1513,0.0824,-0.0753,0.6099,0.1754,0.1477,0.0886,-0.0753,0.7526,0.1601,0.3498,0.3493,0.1127,0.5514,0.072,0.1332,0.1107,-0.0674,0.5638,0.13,0.1573,0.1154,-0.0077,0.5638,0.1611,0.157,0.143,-0.0674,0.5638,0.1422
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3611.2,2590.7,0.8773,33.0223,20.6967,0.9688,1,7.2316,5.8637,213.5401,52.0125,0.9919,1,17.2061,15.7778,0.1546,0.3953,0.3836,0.1207,0.7534,0.0812,0.0804,0.043,-0.0316,0.4701,0.1021,0.1337,0.0979,-0.0144,0.4701,0.1336,0.1293,0.0664,-0.0316,0.7534,0.1512,0.387,0.3855,0.1632,0.6057,0.0669,0.0997,0.0803,-0.0402,0.4372,0.0992,0.1481,0.1366,-0.0078,0.4224,0.1273,0.1443,0.1073,-0.0402,0.6057,0.1409
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3179.8,2532.6,0.8756,15.5051,14.2433,0.9604,1,4.8217,4.3909,163.9901,45.5575,0.9929,1,14.8087,14.3337,0.0945,0.2935,0.2992,-0.0982,0.5576,0.1216,0.0515,0.0006,-0.0894,0.6246,0.117,0.0539,0.0008,-0.0404,0.5045,0.1194,0.0745,0.0028,-0.0982,0.6246,0.1372,0.2528,0.2625,0.0018,0.5321,0.1073,0.0621,0.0087,-0.0533,0.5593,0.107,0.0519,0.005,-0.0434,0.5418,0.1017,0.0802,0.0138,-0.0533,0.5593,0.1208
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3616.9,2551.8,0.8715,11.1547,12.2232,0.9382,1,4.4696,3.2862,149.507,43.5348,0.9913,1,14.4618,13.254,0.0746,0.2908,0.2759,0.0656,0.5028,0.0985,0.0646,0.0266,-0.0452,0.3429,0.0815,0.0719,0.0143,-0.0202,0.3155,0.0987,0.0815,0.0386,-0.0452,0.5028,0.1021,0.281,0.2801,0.1067,0.4379,0.0641,0.0953,0.0732,-0.0262,0.352,0.0907,0.0886,0.0404,-0.0063,0.3389,0.1001,0.1092,0.09,-0.0262,0.4379,0.1015
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,3578.7,2530.8,0.8712,29.4166,19.7844,0.9444,1,7.0766,5.3207,205.6078,51.1129,0.989,1,17.0644,15.2711,0.1431,0.3538,0.335,0.1409,0.6733,0.0932,0.0964,0.0549,-0.0483,0.6539,0.1218,0.0917,0.0466,-0.0331,0.5094,0.1107,0.1329,0.0789,-0.0483,0.6733,0.1484,0.3297,0.3249,0.0737,0.5033,0.0617,0.116,0.097,-0.0656,0.4862,0.1036,0.1176,0.0939,-0.0321,0.4552,0.1131,0.1463,0.1196,-0.0656,0.5033,0.1237
V19-22b;#408;Ebene C - 2021-01-29 15.27.16.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2921.1,2463.6,0.8707,9.8511,11.4105,0.9508,1,3.9266,3.3982,144.2743,42.7358,0.9927,1,13.9146,13.3563,0.0683,0.3959,0.3882,0.1092,0.7256,0.1481,0.0714,0.0292,-0.0335,0.4629,0.0969,0.0538,0,-0.0291,0.4629,0.1115,0.0936,0.0427,-0.0335,0.7256,0.1302,0.4017,0.397,0.1968,0.6095,0.1099,0.1096,0.0826,-0.0096,0.5018,0.116,0.0668,0,-0.0096,0.4862,0.1182,0.1296,0.1036,-0.0096,0.6095,0.1371
