Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#414;Ebene D - 2021-01-29 12.54.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,1949,1960.2,0.898,26.4513,18.6015,0.9606,1,6.524,5.3264,196.5648,49.9138,0.9915,1,16.5092,15.245,0.1346,0.4061,0.4141,0.0152,0.6512,0.1031,0.103,0.0664,-0.0437,0.4914,0.1094,0.1264,0.0831,-0.0187,0.4655,0.1254,0.1439,0.0885,-0.0437,0.6512,0.15,0.2711,0.2745,0.0826,0.4351,0.0554,0.0977,0.0802,-0.0962,0.3968,0.0886,0.1036,0.085,-0.0068,0.3809,0.0903,0.1211,0.0969,-0.0962,0.4351,0.1035
V19-22b;#414;Ebene D - 2021-01-29 12.54.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2224.5,1939.6,0.8942,68.0175,30.0743,0.945,1,10.9484,8.0989,295.3897,61.3729,0.9855,1,20.9214,18.0764,0.2303,0.4793,0.4995,-0.0163,1.0384,0.1845,0.0189,0,-0.1442,0.337,0.0461,0.0264,0.0097,-0.0573,0.2204,0.0434,0.1243,0.0091,-0.1442,1.0384,0.2165,0.3889,0.4263,-0.0284,0.7346,0.1686,0.0439,0.0099,-0.0744,0.5794,0.077,0.0458,0.0197,-0.0097,0.4732,0.0804,0.1229,0.0268,-0.0744,0.7346,0.1792
V19-22b;#414;Ebene D - 2021-01-29 12.54.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2067.3,1978.5,0.893,21.6562,16.7825,0.9662,1,5.8866,4.7934,182.6319,48.0923,0.9923,1,15.8567,14.782,0.1186,0.3768,0.3758,0.0211,0.6855,0.1377,0.0572,0.0045,-0.0384,0.4388,0.0971,0.1051,0.0132,-0.0158,0.4239,0.1334,0.0949,0.0103,-0.0384,0.6855,0.1455,0.2035,0.1978,-0.003,0.4835,0.0963,0.0417,0.0073,-0.0472,0.3371,0.0645,0.0691,0.0167,-0.0091,0.3371,0.0835,0.0607,0.0142,-0.0472,0.4835,0.0865
V19-22b;#414;Ebene D - 2021-01-29 12.54.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,1924.3,1975.2,0.8888,21.2727,16.5602,0.9748,1,5.7473,4.8801,181.3204,47.8849,0.9937,1,15.7472,14.8428,0.1173,0.5364,0.5517,0.1176,0.7941,0.118,0.0541,0.0302,-0.0888,0.6507,0.0708,0.0685,0.0422,-0.0451,0.6507,0.1051,0.1108,0.0409,-0.0888,0.7941,0.1737,0.3818,0.4101,-0.007,0.567,0.1017,0.0735,0.0547,-0.0263,0.4693,0.0742,0.0774,0.053,-0.0206,0.3526,0.0811,0.1097,0.0657,-0.0263,0.567,0.1262
V19-22b;#414;Ebene D - 2021-01-29 12.54.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2262.1,1929.7,0.8874,31.7949,20.2481,0.9745,1,6.9612,5.8616,210.0297,51.5563,0.9929,1,16.9506,15.8454,0.1514,0.5077,0.4865,0.2257,0.9161,0.1099,0.0415,0.0083,-0.1251,0.5483,0.0794,0.0259,0.0078,-0.0678,0.2172,0.0474,0.1114,0.0184,-0.1251,0.9161,0.1868,0.3268,0.3572,-0.137,0.581,0.1235,0.0699,0.0384,-0.077,0.5092,0.0881,0.0495,0.027,-0.0505,0.2383,0.0582,0.1085,0.0618,-0.137,0.581,0.1316
V19-22b;#414;Ebene D - 2021-01-29 12.54.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2487.2,1971.9,0.887,34.5721,21.3569,0.9525,1,7.4796,5.9501,218.3934,52.6586,0.9897,1,17.4681,15.9391,0.1583,0.4833,0.4815,0.109,0.8863,0.1089,0.0854,0.0422,-0.2543,0.7181,0.1394,0.1578,0.1338,-0.0739,0.6107,0.1537,0.1482,0.0737,-0.2543,0.8863,0.1982,0.3423,0.3785,-0.189,0.5633,0.1324,0.132,0.101,-0.244,0.726,0.1329,0.1527,0.1143,-0.1011,0.513,0.1434,0.1652,0.1252,-0.244,0.726,0.1533
V19-22b;#414;Ebene D - 2021-01-29 12.54.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2076.3,1966.8,0.8817,19.6687,15.9429,0.9724,1,5.5179,4.6068,176.4908,47.2566,0.9931,1,15.5152,14.5628,0.1114,0.4725,0.449,0.2222,0.8245,0.1202,0.2025,0.1741,-0.0734,0.6258,0.1644,0.1877,0.1597,-0.0574,0.5039,0.16,0.2331,0.2108,-0.0734,0.8245,0.1814,0.3328,0.3487,0.0612,0.5118,0.0734,0.1913,0.1966,-0.0809,0.4966,0.1201,0.186,0.1807,-0.0062,0.4966,0.1202,0.2073,0.2152,-0.0809,0.5118,0.1242
V19-22b;#414;Ebene D - 2021-01-29 12.54.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2008,1932.5,0.8811,21.1985,16.525,0.9755,1,5.7356,4.8337,180.8689,47.8327,0.9934,1,15.7104,14.7668,0.1172,0.4928,0.5135,0.0868,0.8047,0.1207,0.0773,0.0064,-0.0769,0.6146,0.1338,0.0559,0.0129,-0.0314,0.3191,0.0736,0.1265,0.0173,-0.0769,0.8047,0.1885,0.3203,0.3599,-0.1206,0.5706,0.1287,0.0624,0.0037,-0.1157,0.552,0.1137,0.0497,0.0107,-0.0392,0.2414,0.0634,0.0929,0.0116,-0.1206,0.5706,0.1424
V19-22b;#414;Ebene D - 2021-01-29 12.54.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2059.5,1951.7,0.8791,18.929,15.9818,0.9313,1,5.9481,4.1345,176.0371,47.2913,0.9891,1,15.9365,14.1163,0.1075,0.4478,0.4445,0.051,0.7349,0.1282,0.183,0.0883,-0.0957,0.7462,0.1942,0.246,0.2501,-0.0358,0.6209,0.1922,0.2118,0.1267,-0.0957,0.7462,0.2054,0.3025,0.3167,-0.0403,0.5071,0.0947,0.1658,0.1363,-0.1018,0.5262,0.1363,0.1883,0.1733,-0.0221,0.453,0.1302,0.1806,0.1578,-0.1018,0.5262,0.1391
V19-22b;#414;Ebene D - 2021-01-29 12.54.31.ndpi,PathCellObject,,PathAnnotationObject,Polygon,2074.6,1984.4,0.8775,33.2636,20.8448,0.962,1,7.5343,5.8564,214.4844,52.1576,0.9908,1,17.5118,15.7929,0.1551,0.295,0.3093,0.0308,0.462,0.0743,0.0376,0.0052,-0.0384,0.5332,0.0787,0.0704,0.0036,-0.0184,0.5132,0.1355,0.0774,0.0147,-0.0384,0.5332,0.1215,0.1769,0.1822,0.0197,0.2907,0.0577,0.0285,0.0081,-0.0489,0.3231,0.0447,0.0353,0.0031,-0.0489,0.3161,0.0694,0.0514,0.0164,-0.0489,0.3231,0.0713
