Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#416;Ebene C - 2021-01-29 12.09.26.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17299.5,3585.8,0.8579,14.5354,14.5399,0.864,0.9762,5.3164,3.7452,164.4234,45.835,0.9835,0.9984,15.2967,13.7154,0.0884,0.2835,0.2576,0.0381,0.6341,0.129,0.0584,0.0291,-0.0519,0.8104,0.0947,0.0228,0.0118,-0.027,0.1981,0.0355,0.0783,0.0348,-0.0519,0.8104,0.1171,0.1447,0.1486,-0.047,0.2993,0.07,0.0501,0.0461,-0.0672,0.3208,0.0408,0.0389,0.038,0,0.1212,0.0286,0.0585,0.0495,-0.0672,0.3208,0.0517
V19-22b;#416;Ebene C - 2021-01-29 12.09.26.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17346.7,3578.6,0.8195,47.4464,24.8211,0.9678,1,8.7573,7.0039,248.4863,56.1316,0.9911,1,18.7373,16.9837,0.1909,0.3623,0.2718,-0.0128,1.1468,0.2689,0.0233,0,-0.0744,0.5463,0.057,0.0365,0.0075,-0.0443,0.3859,0.0647,0.0881,0.0099,-0.0744,1.1468,0.185,0.1861,0.1754,-0.0569,0.5416,0.0918,0.0734,0.0488,-0.0711,0.3137,0.0768,0.0704,0.0579,-0.0412,0.2703,0.0735,0.095,0.0955,-0.0711,0.5416,0.0914
V19-22b;#416;Ebene C - 2021-01-29 12.09.26.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17352.7,3553.1,0.8166,10.256,11.9603,0.901,0.9831,4.15,3.5427,147.4136,43.2798,0.989,0.999,14.145,13.4972,0.0696,0.2445,0.2591,0,0.4567,0.1123,0.0499,0.0059,-0.0592,0.5396,0.0962,0.052,0.0035,-0.0211,0.4103,0.0949,0.0634,0.0095,-0.0592,0.5396,0.1092,0.1556,0.1658,-0.021,0.3062,0.0771,0.0602,0.022,-0.0199,0.3362,0.0729,0.0423,0.0067,-0.0199,0.2012,0.0588,0.0668,0.0344,-0.021,0.3362,0.0771
V19-22b;#416;Ebene C - 2021-01-29 12.09.26.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17331.6,3591.8,0.8155,19.5495,16.2537,0.9299,1,6.07,4.2527,178.1515,47.5776,0.989,1,16.0592,14.1944,0.1097,0.3224,0.3212,0.0303,0.7748,0.1293,0.0435,0.0075,-0.0504,0.5188,0.0758,0.0698,0.023,-0.0176,0.5188,0.1071,0.0742,0.0162,-0.0504,0.7748,0.1208,0.1605,0.185,-0.0564,0.3241,0.0902,0.0446,0.0189,-0.0524,0.2633,0.0559,0.0617,0.0486,-0.0406,0.2592,0.0643,0.0574,0.0267,-0.0564,0.3241,0.0706
V19-22b;#416;Ebene C - 2021-01-29 12.09.26.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17323.1,3593.1,0.8125,10.5526,12.3305,0.8722,0.9871,4.763,3.0749,149.3029,43.6102,0.9865,1,14.7471,13.0244,0.0707,0.2649,0.256,0.0407,0.5147,0.1139,0.0246,0,-0.0553,0.454,0.0558,0.0399,0.0029,-0.0293,0.441,0.0924,0.0416,0.0033,-0.0553,0.5147,0.0872,0.1238,0.1231,-0.0734,0.26,0.0715,0.031,0.0098,-0.0524,0.2464,0.0463,0.0292,0.0092,-0.0112,0.1781,0.0455,0.0376,0.0129,-0.0734,0.26,0.0541
V19-22b;#416;Ebene C - 2021-01-29 12.09.26.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17309,3589.3,0.8039,16.533,14.8719,0.9394,1,5.4558,3.9466,167.8796,46.1717,0.9896,1,15.4516,13.88,0.0985,0.0504,0.0448,-0.0127,0.1505,0.0319,0.0229,0.0001,-0.0488,0.3568,0.0454,0.0471,0.0086,-0.0323,0.3158,0.0723,0.0256,0.0043,-0.0488,0.3568,0.045,0.0701,0.0697,-0.0276,0.1692,0.0366,0.0343,0.0192,-0.0214,0.1987,0.0396,0.0385,0.0186,-0.0104,0.1549,0.0444,0.0378,0.0246,-0.0276,0.1987,0.0407
V19-22b;#416;Ebene C - 2021-01-29 12.09.26.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17398.5,3568.4,0.7992,5.9107,9.075,0.9019,1,3.1786,2.6143,128.6893,40.3994,0.9908,1,13.1733,12.5881,0.0459,0.2246,0.2109,0.0633,0.4815,0.0883,0.0353,0.0192,-0.039,0.5301,0.0551,0.0264,0.009,-0.0212,0.1182,0.0346,0.0439,0.0222,-0.039,0.5301,0.0694,0.0869,0.0925,-0.0136,0.1859,0.0524,0.0353,0.0296,-0.0284,0.205,0.0335,0.0266,0.0179,-0.0135,0.1342,0.0325,0.0377,0.0308,-0.0284,0.205,0.0362
V19-22b;#416;Ebene C - 2021-01-29 12.09.26.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17349.9,3558.5,0.7984,11.441,13.4875,0.7903,0.978,5.457,2.6468,156.1084,44.7857,0.978,0.9992,15.4464,12.6134,0.0733,0.2911,0.2683,0.0326,0.5378,0.121,0.0737,0.0328,-0.0592,0.8056,0.107,0.0831,0.0401,-0.0163,0.4169,0.1103,0.0898,0.0444,-0.0592,0.8056,0.1222,0.166,0.17,0.0288,0.3245,0.0602,0.0803,0.0706,-0.0292,0.3387,0.0724,0.0646,0.0424,-0.0066,0.3142,0.074,0.0866,0.0805,-0.0292,0.3387,0.0751
V19-22b;#416;Ebene C - 2021-01-29 12.09.26.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17310.2,3534.8,0.7934,4.8975,8.1917,0.9171,1,3.0391,2.1142,122.9866,39.4868,0.9912,1,13.0075,12.0801,0.0398,0.4131,0.3824,0.1235,0.8688,0.1799,0.0145,0.0035,-0.0492,0.2292,0.0274,0.0157,0.0102,-0.0213,0.0957,0.0223,0.0307,0.0048,-0.0492,0.8688,0.0906,0.1106,0.1216,-0.0166,0.2142,0.0609,0.0221,0.0169,-0.0276,0.1477,0.0242,0.0244,0.0236,-0.018,0.0784,0.0205,0.0257,0.018,-0.0276,0.2142,0.0319
V19-22b;#416;Ebene C - 2021-01-29 12.09.26.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17303.1,3584.9,0.7923,7.7589,10.5252,0.8801,1,4.1281,2.46,137.407,41.8125,0.9877,1,14.1093,12.4033,0.0565,0.2277,0.2329,0.0405,0.3538,0.0728,0.0711,0.0307,-0.0377,0.8104,0.1173,0.0466,0.028,-0.0287,0.3261,0.0651,0.08,0.0346,-0.0377,0.8104,0.1207,0.1058,0.115,0.0014,0.1987,0.0459,0.0595,0.0531,-0.0704,0.3075,0.0511,0.0482,0.0519,-0.0092,0.1789,0.0374,0.0621,0.0552,-0.0704,0.3075,0.052
