Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38121.3,4600.3,0.8924,16.9175,14.9183,0.9552,1,5.193,4.2302,168.6132,46.2282,0.9915,1,15.1865,14.1582,0.1003,0.6182,0.5949,-0.0455,1.4122,0.2761,0.091,0.0552,-0.1976,0.8807,0.1247,0.0775,0.0331,-0.1378,0.4211,0.107,0.1433,0.0738,-0.1976,1.4122,0.2155,0.3461,0.481,-0.675,0.8509,0.3508,0.0976,0.0727,-0.4128,0.7528,0.1114,0.0948,0.0472,-0.1615,0.4733,0.1128,0.1222,0.0853,-0.675,0.8509,0.17
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38004.6,4679,0.8909,51.1063,25.6373,0.9771,1,8.625,7.8206,256.3348,56.9626,0.9927,1,18.6246,17.7579,0.1994,0.4834,0.4654,0.0602,0.9578,0.1338,0.0747,0.0224,-0.1963,0.9266,0.1257,0.1318,0.0798,-0.1226,0.9266,0.1794,0.1566,0.0562,-0.1963,0.9578,0.2073,0.2988,0.3539,-0.2631,0.6072,0.1845,0.0857,0.0513,-0.3084,0.5803,0.1116,0.1008,0.0955,-0.3084,0.5531,0.1258,0.1284,0.0792,-0.3084,0.6072,0.1551
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38060.2,4570.7,0.8888,42.9351,23.5624,0.9718,1,8.0202,6.9688,237.7528,54.8813,0.9919,1,18.0201,16.9267,0.1806,0.4687,0.4506,-0.0793,1.2463,0.2418,0.0964,0.0728,-0.223,0.9599,0.1191,0.1104,0.1032,-0.0851,0.5048,0.1042,0.1639,0.1031,-0.223,1.2463,0.2069,0.3454,0.3452,-0.1801,0.7777,0.1877,0.1093,0.099,-0.0966,0.7545,0.1008,0.1036,0.1036,-0.0587,0.4259,0.0863,0.1522,0.1195,-0.1801,0.7777,0.1516
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38319.1,4514.6,0.8848,18.5917,15.4429,0.9796,1,5.1665,4.7653,173.1315,46.7707,0.9946,1,15.1533,14.7299,0.1074,0.3726,0.3725,0.1354,0.6724,0.0847,0.1008,0.082,-0.0658,0.7079,0.1021,0.0723,0.036,-0.0641,0.5231,0.0978,0.1296,0.0964,-0.0658,0.7079,0.1307,0.2792,0.2919,-0.0395,0.406,0.0682,0.0931,0.0902,-0.066,0.3736,0.0727,0.0737,0.0566,-0.022,0.3736,0.0764,0.1128,0.1044,-0.066,0.406,0.0922
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38205.7,4550,0.8841,16.5042,14.6404,0.9676,1,4.947,4.3792,167.0051,45.9698,0.9931,1,14.9434,14.3272,0.0988,0.5671,0.5884,-0.0689,1.1732,0.238,0.0511,0.0034,-0.1626,0.4133,0.0966,0.0619,0.0068,-0.0568,0.3421,0.1005,0.1026,0.0058,-0.1626,1.1732,0.1949,0.3463,0.3548,-0.1063,0.8108,0.1958,0.0587,0.0035,-0.0949,0.4956,0.0939,0.0601,0.0021,-0.0111,0.3172,0.0893,0.0874,0.0066,-0.1063,0.8108,0.1385
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38796.5,4257.5,0.8805,13.269,13.1811,0.9597,1,4.6469,3.7187,156.2849,44.4828,0.9925,1,14.626,13.6644,0.0849,0.4215,0.3832,0.0194,1.1213,0.2138,0.023,0.0034,-0.1704,0.3281,0.0567,0.0181,0.0014,-0.1118,0.1892,0.0484,0.0572,0.0068,-0.1704,1.1213,0.1388,0.1572,0.2003,-0.3914,0.5369,0.1889,0.0421,0.0176,-0.123,0.421,0.0658,0.0332,0.0109,-0.0558,0.2086,0.0494,0.052,0.0212,-0.3914,0.5369,0.0897
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38763.6,4276.2,0.8801,25.1945,18.3095,0.9444,1,6.4445,5.1894,194.0157,49.6364,0.9896,1,16.4308,15.1667,0.1299,0.4754,0.4699,0.0805,1.0313,0.1661,0.0736,0.0267,-0.2849,0.6523,0.1125,0.095,0.0402,-0.0518,0.6481,0.1333,0.1258,0.052,-0.2849,1.0313,0.1812,0.3072,0.3517,-0.2484,0.6385,0.1987,0.0889,0.0542,-0.1955,0.6083,0.1102,0.1033,0.102,-0.0662,0.419,0.1038,0.1172,0.084,-0.2484,0.6385,0.1452
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38783.8,4222,0.8775,24.8019,18.0476,0.9569,1,6.5238,4.9092,192.0503,49.3525,0.9908,1,16.4841,14.8949,0.1292,0.4775,0.4634,0.1166,0.9717,0.1374,0.0224,0.0004,-0.2536,0.5469,0.0718,0.0295,0.0013,-0.0576,0.5316,0.0827,0.0813,0.0034,-0.2536,0.9717,0.174,0.2464,0.2923,-0.2746,0.7103,0.1805,0.0326,0,-0.1875,0.6978,0.0815,0.028,0,-0.1281,0.2544,0.0649,0.0603,0.001,-0.2746,0.7103,0.1231
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38426.7,4398.4,0.8771,10.9344,11.9376,0.9642,1,4.0367,3.5976,147.9041,43.2529,0.9935,1,14.0339,13.5456,0.0739,0.3723,0.3965,-0.0032,0.6321,0.1444,0.1299,0.0777,-0.0706,0.9459,0.1768,0.1329,0.0454,-0.0379,0.8163,0.2001,0.1479,0.0896,-0.0706,0.9459,0.1857,0.2759,0.2775,0.0783,0.4277,0.0789,0.1602,0.1375,-0.0655,0.8086,0.138,0.1256,0.0905,-0.0116,0.5584,0.1311,0.1688,0.1464,-0.0655,0.8086,0.1379
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38527.6,4484.4,0.8759,19.0161,15.7791,0.9598,1,5.515,4.4026,174.9647,47.0866,0.9917,1,15.504,14.3546,0.1087,0.5532,0.5252,0.0962,1.0137,0.1655,0.042,0.0091,-0.0566,0.6154,0.0701,0.0432,0.0099,-0.0257,0.2628,0.0617,0.0971,0.017,-0.0566,1.0137,0.1801,0.3847,0.427,-0.0929,0.6491,0.1513,0.0467,0.0111,-0.1287,0.4527,0.0687,0.0353,0.0057,-0.0335,0.249,0.0566,0.0831,0.0193,-0.1287,0.6491,0.1329
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,39049.5,4057.2,0.8755,22.0205,17.2928,0.9254,1,6.4822,4.4484,185.5847,48.6015,0.9873,1,16.4763,14.3882,0.1186,0.3356,0.346,0.0695,0.5054,0.0717,0.0541,0.0095,-0.0485,0.5639,0.0936,0.0442,0.0083,-0.0228,0.4265,0.0764,0.0874,0.0136,-0.0485,0.5639,0.1289,0.2372,0.2704,-0.0917,0.4008,0.1035,0.0426,0.005,-0.1236,0.4098,0.0742,0.044,0.005,-0.017,0.3074,0.0706,0.0656,0.0105,-0.1236,0.4098,0.1004
V19-22b;#413;Ebene D - 2021-01-29 15.49.27.ndpi,PathCellObject,,PathAnnotationObject,Polygon,38385.5,4439.1,0.8737,37.342,22.0969,0.961,1,7.9214,6.1358,224.7676,53.4095,0.9902,1,17.8945,16.1076,0.1662,0.2101,0.2066,0.0729,0.4279,0.0575,0.0749,0.0526,-0.0475,0.4976,0.0833,0.0829,0.0722,-0.0365,0.2698,0.0773,0.0974,0.0727,-0.0475,0.4976,0.0942,0.1438,0.145,0.0498,0.2503,0.0371,0.0607,0.0436,-0.0376,0.3611,0.0632,0.0697,0.0752,-0.0134,0.1993,0.0546,0.0745,0.0618,-0.0376,0.3611,0.0672
