Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#411;Ebene D - 2021-01-29 16.05.37.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17201.7,2336.5,0.8872,12.0174,12.5272,0.9623,1,4.3482,3.5807,152.0585,43.8582,0.9934,1,14.3417,13.5471,0.079,0.5452,0.5859,0.1213,0.9647,0.1838,0.0399,0.0297,-0.0347,0.3164,0.0446,0.0455,0.0485,-0.0262,0.1266,0.0331,0.0797,0.0351,-0.0347,0.9647,0.1517,0.2506,0.2382,-0.0322,0.4878,0.115,0.0927,0.0951,-0.0298,0.2312,0.0528,0.1135,0.1149,0.0169,0.189,0.0425,0.1051,0.1004,-0.0322,0.4878,0.0736
V19-22b;#411;Ebene D - 2021-01-29 16.05.37.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17181.1,2329.8,0.8688,15.5362,14.1556,0.9743,1,4.6872,4.0782,163.5254,45.4689,0.994,1,14.6812,14.0546,0.095,0.379,0.3956,0.0878,0.6007,0.1118,0.0358,0.022,-0.0311,0.4264,0.0484,0.029,0.0257,-0.0146,0.1323,0.0289,0.0685,0.0282,-0.0311,0.6007,0.116,0.1783,0.1873,0.022,0.312,0.0623,0.0732,0.0703,0,0.2246,0.0504,0.0732,0.0649,0,0.1825,0.0459,0.0832,0.0783,0,0.312,0.0602
V19-22b;#411;Ebene D - 2021-01-29 16.05.37.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17162.3,2330.3,0.8598,26.052,18.9009,0.9164,1,7.1734,4.9065,197.7045,50.2121,0.9854,1,17.1641,14.8383,0.1318,0.3965,0.3933,0.0925,0.8977,0.1759,0.0566,0.0347,-0.0415,0.6806,0.0811,0.0441,0.033,-0.0415,0.3558,0.0594,0.1014,0.0462,-0.0415,0.8977,0.1517,0.0895,0.0873,-0.027,0.2349,0.0494,0.0721,0.0577,-0.0581,0.2743,0.0641,0.1011,0.0986,0,0.2326,0.0599,0.0744,0.0643,-0.0581,0.2743,0.0626
V19-22b;#411;Ebene D - 2021-01-29 16.05.37.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17186.6,2303.3,0.8225,7.8218,10.1274,0.9583,1,3.3716,3.0731,135.7423,41.4429,0.9932,1,13.3574,13.0189,0.0576,0.2138,0.2059,0.0084,0.3828,0.0749,0.0546,0.0066,-0.0186,0.6512,0.0988,0.0403,0.0026,-0.0077,0.2663,0.0699,0.0637,0.0125,-0.0186,0.6512,0.1044,0.1556,0.1658,-0.0179,0.2403,0.0567,0.0351,0.0071,-0.0532,0.1973,0.0458,0.0302,0.0047,-0.0099,0.1552,0.0423,0.0421,0.0115,-0.0532,0.2403,0.0543
V19-22b;#411;Ebene D - 2021-01-29 16.05.37.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17197.8,2319.8,0.7892,6.7534,9.6545,0.9105,1,3.5665,2.4067,132.2994,40.9633,0.9908,1,13.5473,12.3654,0.0511,0.4442,0.4264,0.0239,0.8091,0.2043,0.0548,0.0169,-0.0427,0.8893,0.0958,0.0909,0.0307,-0.0176,0.8445,0.1456,0.0748,0.0215,-0.0427,0.8893,0.135,0.1978,0.2105,0.0235,0.3274,0.0577,0.1049,0.1113,0,0.2917,0.0606,0.1082,0.1106,0,0.2129,0.0539,0.1096,0.1149,0,0.3274,0.0639
V19-22b;#411;Ebene D - 2021-01-29 16.05.37.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17203.5,2320.3,0.7875,15.4376,14.8067,0.8849,1,5.7377,3.4275,166.7052,46.1207,0.9848,1,15.7262,13.4027,0.0926,0.2084,0.2139,0.0105,0.3946,0.0881,0.0622,0.0272,-0.0427,0.8091,0.1091,0.0314,0.0105,-0.0269,0.1964,0.0451,0.0757,0.036,-0.0427,0.8091,0.1154,0.1343,0.1297,0.0447,0.3001,0.0525,0.1102,0.1137,0,0.3274,0.0692,0.0886,0.0816,0,0.2827,0.0575,0.1124,0.1157,0,0.3274,0.0682
V19-22b;#411;Ebene D - 2021-01-29 16.05.37.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17162.8,2312,0.7864,17.0858,15.2525,0.9229,0.9922,5.3928,4.1719,170.4713,46.5566,0.9883,0.9994,15.3882,14.1331,0.1002,0.2925,0.3079,0.0335,0.5461,0.1272,0.0125,0.0026,-0.0161,0.3282,0.0278,0.011,0.0011,-0.0139,0.1633,0.0283,0.0407,0.0051,-0.0161,0.5461,0.097,0.1064,0.1027,0.0069,0.2382,0.0441,0.0142,0.0061,-0.0198,0.1793,0.0199,0.0115,0.0024,-0.0132,0.1793,0.0269,0.0235,0.0084,-0.0198,0.2382,0.0363
V19-22b;#411;Ebene D - 2021-01-29 16.05.37.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17140.4,2317.5,0.763,31.5036,23.5945,0.7111,0.9363,9.5152,4.7671,226.1686,54.7932,0.9466,0.9944,19.5025,14.731,0.1393,0.2199,0.2106,-0.0224,0.4873,0.114,0.086,0.0532,-0.0243,0.6326,0.1033,0.0703,0.0174,-0.0189,0.5684,0.1066,0.1046,0.0765,-0.0243,0.6326,0.1147,0.1004,0.0954,0.0258,0.2005,0.0331,0.0739,0.0649,-0.0095,0.2811,0.0666,0.0722,0.0531,-0.0081,0.2381,0.0708,0.0776,0.0766,-0.0095,0.2811,0.0636
V19-22b;#411;Ebene D - 2021-01-29 16.05.37.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17197.6,2312.2,0.7628,11.2954,12.8877,0.8546,0.9913,4.7658,3.1953,152.9242,44.1888,0.9841,1,14.7623,13.138,0.0738,0.3451,0.3073,0.0219,0.8893,0.2073,0.033,0.0039,-0.0427,0.7538,0.0688,0.0808,0.0196,-0.0277,0.7538,0.1472,0.056,0.0066,-0.0427,0.8893,0.1191,0.1594,0.1572,0.0602,0.268,0.0453,0.0635,0.0457,-0.0172,0.2642,0.065,0.0749,0.0593,-0.0133,0.2351,0.0737,0.0706,0.0568,-0.0172,0.268,0.0685
V19-22b;#411;Ebene D - 2021-01-29 16.05.37.ndpi,PathCellObject,,PathAnnotationObject,Polygon,17213.3,2320.7,0.7443,6.3124,10.0754,0.7814,0.9744,4.0957,2.0177,133.7809,41.366,0.9825,0.999,14.0905,11.9623,0.0472,0.4645,0.4698,0.1169,0.808,0.1776,0.0682,0.0393,-0.0386,0.477,0.0818,0.0887,0.0535,-0.011,0.3144,0.0832,0.0867,0.0454,-0.0386,0.808,0.1218,0.2398,0.2309,0.1338,0.399,0.0607,0.142,0.1469,0,0.3962,0.0969,0.142,0.141,0,0.3865,0.0917,0.1466,0.1541,0,0.399,0.0977
