Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#411;Ebene C - 2021-02-12 11.34.14.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23554.2,3009.5,0.8924,15.9154,14.5712,0.942,1,5.2671,3.8546,166.0282,45.8877,0.9908,1,15.2652,13.8087,0.0959,0.5496,0.5003,-0.193,1.6617,0.3591,0.0345,0.0015,-0.233,0.5815,0.0763,0.0248,0.0007,-0.0572,0.3605,0.0551,0.0845,0.011,-0.233,1.6617,0.2026,0.1402,0.125,-0.6969,1.1196,0.2822,0.0471,0.0222,-0.2108,0.8179,0.0795,0.0355,0.0089,-0.0557,0.2559,0.0528,0.0561,0.025,-0.6969,1.1196,0.1191
V19-22b;#411;Ebene C - 2021-02-12 11.34.14.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23652.4,3117.6,0.8836,11.6728,12.3224,0.966,1,4.1572,3.6058,150.5323,43.635,0.9935,1,14.1416,13.5161,0.0775,0.2837,0.2429,-0.0132,0.6792,0.1299,0.0569,0.0321,-0.1591,0.4171,0.0774,0.041,0.0225,-0.0396,0.2043,0.0509,0.0744,0.043,-0.1591,0.6792,0.1024,0.1437,0.1357,-0.065,0.5101,0.0952,0.0874,0.0828,-0.0632,0.4777,0.084,0.0922,0.0794,-0.0172,0.3307,0.0916,0.0918,0.0889,-0.065,0.5101,0.0862
V19-22b;#411;Ebene C - 2021-02-12 11.34.14.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23667.4,3099.9,0.8826,16.3161,14.8791,0.9261,1,5.5644,3.8703,167.8056,46.18,0.9888,1,15.5571,13.8054,0.0972,0.531,0.5049,-0.304,1.4123,0.3185,0.043,0.0196,-0.4244,0.5614,0.1042,0.0402,0.0209,-0.1591,0.3926,0.0895,0.0901,0.0353,-0.4244,1.4123,0.2009,0.1998,0.248,-0.7366,0.839,0.3184,0.095,0.0821,-0.281,0.8853,0.1122,0.0904,0.0867,-0.166,0.3355,0.089,0.1052,0.087,-0.7366,0.8853,0.1486
V19-22b;#411;Ebene C - 2021-02-12 11.34.14.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23585.1,3028.8,0.8816,12.1731,12.5423,0.9724,1,4.1883,3.7832,152.0281,43.845,0.9938,1,14.1839,13.7501,0.0801,0.575,0.5552,-0.0498,1.4884,0.319,0.0551,0.0374,-0.217,0.634,0.1005,0.0432,0.0196,-0.1465,0.3216,0.0848,0.0971,0.0491,-0.217,1.4884,0.1937,0.2022,0.2355,-0.3751,0.7336,0.2442,0.104,0.0964,-0.2821,0.5319,0.0982,0.0726,0.0641,-0.1342,0.3174,0.0854,0.1119,0.0989,-0.3751,0.7336,0.1199
V19-22b;#411;Ebene C - 2021-02-12 11.34.14.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23615.4,3081.2,0.8789,17.3619,15.3888,0.9213,1,5.7166,3.8199,171.649,46.7115,0.9886,1,15.7055,13.8186,0.1012,0.5024,0.4684,0.0092,1.1878,0.2414,0.0302,0.0143,-0.2726,0.3606,0.086,0.0179,0.0011,-0.1646,0.2028,0.0761,0.0775,0.0279,-0.2726,1.1878,0.1806,0.152,0.1747,-0.4072,0.7601,0.2106,0.0878,0.0696,-0.1588,0.7493,0.1053,0.0912,0.0813,-0.0331,0.3213,0.0784,0.0942,0.0729,-0.4072,0.7601,0.1216
V19-22b;#411;Ebene C - 2021-02-12 11.34.14.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23543.9,2969.6,0.8753,15.6388,14.778,0.8999,1,5.696,3.6134,166.7544,46.0884,0.9865,1,15.6852,13.5714,0.0938,0.4369,0.4354,0.0614,1.0661,0.1836,0.0411,0.0002,-0.1461,0.4919,0.0882,0.0376,0,-0.059,0.4471,0.0835,0.078,0.0028,-0.1461,1.0661,0.1531,0.227,0.2555,-0.1854,0.5882,0.1515,0.0567,0.0031,-0.1156,0.4083,0.0918,0.0537,0,-0.0411,0.3813,0.0926,0.0726,0.0061,-0.1854,0.5882,0.1106
V19-22b;#411;Ebene C - 2021-02-12 11.34.14.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23621.4,3095.4,0.8654,14.7222,14.0289,0.94,0.9968,4.9225,3.8124,162.1671,45.3507,0.9908,1,14.9167,13.7639,0.0908,0.4642,0.4552,0.0589,0.9519,0.1764,0.0367,0.0225,-0.2719,0.3865,0.0825,0.0298,0.0104,-0.1171,0.3143,0.0754,0.0758,0.0331,-0.2719,0.9519,0.1555,0.1639,0.2303,-0.373,0.6197,0.2436,0.0895,0.0746,-0.1802,0.6541,0.0981,0.0698,0.056,-0.1267,0.3187,0.0712,0.0963,0.0788,-0.373,0.6541,0.1208
V19-22b;#411;Ebene C - 2021-02-12 11.34.14.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23632.5,3103.5,0.856,11.363,12.3064,0.9429,1,4.1843,3.5259,150.049,43.6082,0.9915,1,14.1755,13.5092,0.0757,0.485,0.4912,0.1082,0.8358,0.1644,0.0455,0.005,-0.231,0.5086,0.0992,0.046,0.0318,-0.1603,0.2355,0.0697,0.0791,0.0173,-0.231,0.8358,0.1575,0.1885,0.1983,-0.1694,0.5779,0.1579,0.0796,0.0598,-0.2606,0.583,0.1033,0.0525,0.0447,-0.1272,0.3013,0.0721,0.0879,0.0651,-0.2606,0.583,0.1122
V19-22b;#411;Ebene C - 2021-02-12 11.34.14.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23470.8,2959.5,0.853,9.4541,11.1743,0.9514,1,3.9483,3.1907,142.4814,42.4784,0.9923,1,13.9222,13.1239,0.0664,0.4631,0.4708,0.0367,1.1512,0.246,0.0508,0,-0.1123,0.4572,0.0905,0.0689,0.0213,-0.0858,0.4478,0.1002,0.0781,0.0004,-0.1123,1.1512,0.1488,0.309,0.3174,0.0139,0.6635,0.1436,0.0666,0.0031,-0.1124,0.5145,0.102,0.0836,0.031,-0.0926,0.3805,0.1072,0.0826,0.0092,-0.1124,0.6635,0.1213
V19-22b;#411;Ebene C - 2021-02-12 11.34.14.ndpi,PathCellObject,,PathAnnotationObject,Polygon,23639.9,3096.1,0.8492,8.2282,10.5129,0.9356,1,3.7542,2.7578,138.148,41.8341,0.992,1,13.7379,12.7044,0.0596,0.6378,0.5826,-0.1317,1.8154,0.3918,0.0474,0.0136,-0.3103,0.574,0.1139,0.0215,0,-0.2086,0.343,0.0782,0.0825,0.0241,-0.3103,1.8154,0.2019,0.1802,0.2427,-0.6924,0.9185,0.3792,0.0933,0.072,-0.2769,0.8549,0.1228,0.0697,0.0314,-0.1484,0.578,0.1025,0.0985,0.0742,-0.6924,0.9185,0.152
