Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V19-22b;#412;Ebene E - 2021-01-29 15.53.41.ndpi,PathCellObject,,PathAnnotationObject,Polygon,19679.5,5234.3,0.9039,15.618,14.2638,0.9646,1,5.0135,4.068,164.2041,45.587,0.9929,1,15.0128,14.0263,0.0951,0.391,0.3892,0.0378,0.6593,0.1437,0.0303,0.0232,-0.0412,0.3024,0.038,0.0317,0.0296,-0.0188,0.1229,0.025,0.065,0.0283,-0.0412,0.6593,0.1208,0.2952,0.3202,-0.034,0.5394,0.1249,0.0778,0.0759,-0.0769,0.3111,0.0588,0.085,0.0898,0,0.1974,0.0438,0.0987,0.0833,-0.0769,0.5394,0.0934
V19-22b;#412;Ebene E - 2021-01-29 15.53.41.ndpi,PathCellObject,,PathAnnotationObject,Polygon,19605.6,5246,0.894,20.882,16.6203,0.95,1,5.9197,4.3427,181.1302,47.9352,0.9906,1,15.9175,14.2981,0.1153,0.3578,0.3502,0.0256,0.9379,0.1513,0.0426,0.0366,-0.0355,0.348,0.041,0.0467,0.0377,-0.0006,0.1738,0.0356,0.0794,0.0421,-0.0355,0.9379,0.1199,0.2378,0.2555,-0.1303,0.535,0.0978,0.0817,0.0844,-0.1408,0.2986,0.062,0.0976,0.0939,0,0.2964,0.0659,0.0999,0.0951,-0.1408,0.535,0.0838
V19-22b;#412;Ebene E - 2021-01-29 15.53.41.ndpi,PathCellObject,,PathAnnotationObject,Polygon,19603.7,5222.1,0.8731,13.2662,13.6101,0.9,1,5.1125,3.3281,158.5179,44.9144,0.9875,1,15.0783,13.3086,0.0837,0.3906,0.3721,0.0668,0.8383,0.1366,0.0419,0.0339,-0.0393,0.3294,0.0448,0.0426,0.0389,-0.0112,0.1142,0.0306,0.0711,0.0392,-0.0393,0.8383,0.1129,0.3069,0.325,0.0931,0.5838,0.1021,0.0782,0.0679,-0.0097,0.3469,0.069,0.1002,0.0979,0.0009,0.3371,0.0642,0.0974,0.0795,-0.0097,0.5838,0.0962
V19-22b;#412;Ebene E - 2021-01-29 15.53.41.ndpi,PathCellObject,,PathAnnotationObject,Polygon,19651,5187.5,0.8649,13.6405,13.513,0.9387,1,4.939,3.4838,158.4191,44.8282,0.9906,1,14.9296,13.4457,0.0861,0.3335,0.3499,0.0011,0.6093,0.1163,0.0393,0.0337,-0.0399,0.4047,0.0427,0.0254,0.0108,-0.0257,0.2638,0.0405,0.0645,0.0394,-0.0399,0.6093,0.098,0.3026,0.3048,0.0809,0.5155,0.0853,0.0812,0.0895,-0.0203,0.2622,0.0553,0.0598,0.0496,-0.0088,0.2099,0.0575,0.1002,0.0945,-0.0203,0.5155,0.0852
V19-22b;#412;Ebene E - 2021-01-29 15.53.41.ndpi,PathCellObject,,PathAnnotationObject,Polygon,19644.3,5268.3,0.8618,14.1368,13.8833,0.9217,1,4.9955,3.7553,160.8233,45.2005,0.9892,1,14.9934,13.7102,0.0879,0.1942,0.1626,-0.0038,0.481,0.1079,0.0431,0.0376,-0.0315,0.3911,0.0374,0.03,0.0281,-0.0132,0.1443,0.0276,0.0564,0.0409,-0.0315,0.481,0.0644,0.1134,0.1128,0.0001,0.2398,0.0531,0.0864,0.0711,-0.0268,0.3043,0.0653,0.0556,0.049,-0.0063,0.204,0.0495,0.0888,0.0767,-0.0268,0.3043,0.0648
V19-22b;#412;Ebene E - 2021-01-29 15.53.41.ndpi,PathCellObject,,PathAnnotationObject,Polygon,19551.1,5125.3,0.8553,10.3453,12.0399,0.8968,1,4.5645,2.9607,147.8222,43.3537,0.9883,1,14.5603,12.9118,0.07,0.3643,0.4035,-0.0838,0.7233,0.2029,0.0364,0.0036,-0.0946,0.5914,0.0733,0.0281,0.0064,-0.0325,0.1746,0.0427,0.0594,0.007,-0.0946,0.7233,0.122,0.2099,0.2329,-0.0898,0.5351,0.1669,0.0538,0.0091,-0.0585,0.4342,0.0761,0.0526,0.0023,-0.0225,0.2783,0.0724,0.0647,0.0134,-0.0898,0.5351,0.0945
V19-22b;#412;Ebene E - 2021-01-29 15.53.41.ndpi,PathCellObject,,PathAnnotationObject,Polygon,19747.4,5220.9,0.8511,9.2662,11.4057,0.8951,1,4.2389,2.9458,143.5654,42.7194,0.9886,1,14.2306,12.9347,0.0646,0.2091,0.1978,-0.0117,0.4059,0.1021,0.0435,0.0342,-0.027,0.2424,0.047,0.0273,0.0242,-0.0132,0.098,0.0282,0.0542,0.038,-0.027,0.4059,0.0663,0.1609,0.1654,-0.029,0.2595,0.0519,0.0777,0.0785,-0.0242,0.2424,0.0567,0.0693,0.0681,0,0.1922,0.0538,0.083,0.0837,-0.029,0.2595,0.0599
V19-22b;#412;Ebene E - 2021-01-29 15.53.41.ndpi,PathCellObject,,PathAnnotationObject,Polygon,19661.8,5226,0.8445,9.9555,11.784,0.9009,1,4.4569,2.87,145.8947,43.0784,0.9879,1,14.4283,12.837,0.0682,0.3317,0.3377,0.0678,0.5773,0.1159,0.0367,0.0327,-0.0298,0.2642,0.0328,0.0391,0.0348,-0.0154,0.098,0.0237,0.057,0.0357,-0.0298,0.5773,0.0866,0.2399,0.2335,0.0621,0.4492,0.0875,0.085,0.0798,-0.0088,0.2639,0.0511,0.0848,0.0804,-0.0051,0.1831,0.0409,0.0957,0.084,-0.0088,0.4492,0.067
V19-22b;#412;Ebene E - 2021-01-29 15.53.41.ndpi,PathCellObject,,PathAnnotationObject,Polygon,19691.8,5244,0.8434,13.0897,13.428,0.9123,1,4.9325,3.3954,157.5079,44.7412,0.9888,1,14.9268,13.378,0.0831,0.4132,0.4292,0.0418,0.6837,0.1571,0.0324,0.0274,-0.0518,0.3204,0.0367,0.0375,0.0349,-0.0223,0.1266,0.0334,0.0639,0.0321,-0.0518,0.6837,0.1195,0.2973,0.3029,0.0142,0.5691,0.1435,0.0756,0.0713,-0.043,0.2858,0.0571,0.1039,0.1097,0,0.2692,0.061,0.094,0.0768,-0.043,0.5691,0.0918
V19-22b;#412;Ebene E - 2021-01-29 15.53.41.ndpi,PathCellObject,,PathAnnotationObject,Polygon,19645.3,5213.2,0.8406,11.7255,12.9103,0.884,1,5.0188,3.0601,153.4546,44.228,0.9858,1,15.0186,12.9705,0.0764,0.3907,0.3782,0.0629,0.7444,0.1323,0.0577,0.0554,-0.0309,0.4073,0.0439,0.0434,0.0407,-0.0309,0.1243,0.0307,0.083,0.0584,-0.0309,0.7444,0.1044,0.2946,0.2928,0.0403,0.5885,0.1044,0.0896,0.0872,-0.0381,0.3187,0.0581,0.1117,0.1088,0,0.2868,0.0607,0.1052,0.0925,-0.0381,0.5885,0.0831
