description,mean,std,statistic,P
A vs B,0.008899416150051742,n/a,0.008899416150051742,0.7112872887127113
A,0.8184295438020456,0.08053665624580023,0.4850962104687124,1.999998000002e-06
B,0.8095301276519938,0.08374363628087077,0.47619679431866063,1.999998000002e-06
