Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7927.3,5055.1,0.8823,13.2183,13.0401,0.9768,1,4.3945,3.8161,155.7255,44.3631,0.9943,1,14.3924,13.7659,0.0849,0.422,0.4235,-0.0229,0.9279,0.1642,0.04,0.0196,-0.0464,0.5573,0.0588,0.0279,0.0155,-0.033,0.1715,0.038,0.072,0.0251,-0.0464,0.9279,0.1289,0.3089,0.3036,0.0842,0.6534,0.0944,0.0693,0.0531,-0.0466,0.4473,0.0691,0.0528,0.0466,-0.0264,0.1871,0.0476,0.0893,0.0599,-0.0466,0.6534,0.0975
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7862.1,5134.9,0.8804,18.9085,15.786,0.9535,1,5.4671,4.4297,174.941,47.0928,0.9913,1,15.4483,14.3806,0.1081,0.3025,0.3036,0.0404,0.6836,0.0902,0.0868,0.047,-0.0453,0.6933,0.1212,0.105,0.0334,-0.0447,0.6298,0.1517,0.1099,0.0602,-0.0453,0.6933,0.1358,0.323,0.3248,0.1672,0.5278,0.0668,0.1461,0.1282,-0.0077,0.6059,0.1086,0.1476,0.1061,0,0.479,0.1342,0.1651,0.1487,-0.0077,0.6059,0.1183
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7961,5121.4,0.8801,16.1455,14.5327,0.9607,1,5.0538,4.1497,166.0212,45.8546,0.9922,1,15.046,14.0835,0.0972,0.3611,0.3464,0.0043,0.8138,0.1529,0.1142,0.0675,-0.0575,0.7669,0.1447,0.0907,0.0431,-0.0329,0.528,0.1226,0.138,0.0837,-0.0575,0.8138,0.1627,0.3125,0.3081,0.0718,0.5445,0.0877,0.1542,0.1407,-0.0128,0.6222,0.1162,0.1312,0.1179,0,0.4269,0.1011,0.1694,0.1544,-0.0128,0.6222,0.123
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7613.7,5371.1,0.8796,14.7117,13.7902,0.9721,1,4.729,4.0254,160.7872,45.0998,0.9934,1,14.7154,13.9939,0.0915,0.4941,0.4829,0.0906,0.9813,0.1666,0.0723,0.042,-0.1658,0.6603,0.1023,0.0683,0.0247,-0.0997,0.5136,0.1146,0.1111,0.0587,-0.1658,0.9813,0.1641,0.2175,0.2864,-0.2334,0.5599,0.2006,0.0926,0.0761,-0.2304,0.5859,0.097,0.0973,0.0899,-0.0805,0.3606,0.0893,0.1041,0.0829,-0.2334,0.5859,0.1164
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7209.2,5642.2,0.8792,25.5588,18.5727,0.9311,1,6.9133,4.9308,195.6561,49.8944,0.9876,1,16.9077,14.9146,0.1306,0.3021,0.2966,0.0338,0.6746,0.136,0.0987,0.0635,-0.0885,0.6495,0.1101,0.1069,0.0741,-0.0565,0.4298,0.1165,0.1253,0.0903,-0.0885,0.6746,0.1329,0.2012,0.1998,-0.0057,0.464,0.0695,0.1,0.0917,-0.0878,0.3957,0.0765,0.105,0.0964,-0.0138,0.3343,0.0848,0.1133,0.1076,-0.0878,0.464,0.083
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7684.1,5364.3,0.8781,10.3531,11.7363,0.9445,1,4.2384,3.1316,146.2931,43.0473,0.9921,1,14.2334,13.0842,0.0708,0.4832,0.5031,-0.001,0.8323,0.1853,0.1022,0.0365,-0.0958,0.7223,0.1478,0.1283,0.0659,-0.0693,0.6661,0.1567,0.1288,0.0468,-0.0958,0.8323,0.1793,0.2803,0.309,-0.1491,0.5522,0.1412,0.1067,0.0863,-0.1814,0.4833,0.1023,0.14,0.1245,-0.0493,0.4069,0.11,0.1188,0.0976,-0.1814,0.5522,0.1143
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7854.5,5248.5,0.878,15.1073,13.9836,0.9709,1,4.667,4.284,162.3076,45.3036,0.9938,1,14.6601,14.2466,0.0931,0.511,0.5149,0.0639,0.8356,0.1702,0.0727,0.0213,-0.0506,0.8133,0.1231,0.1246,0.0267,-0.0325,0.5722,0.1693,0.1132,0.0313,-0.0506,0.8356,0.1803,0.3974,0.407,0.1104,0.6096,0.1001,0.1012,0.084,-0.1197,0.6697,0.0944,0.145,0.0986,-0.0608,0.6697,0.1337,0.1285,0.0955,-0.1197,0.6697,0.128
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7907.2,5222.2,0.8771,16.977,14.8447,0.9681,1,5.0299,4.4579,168.5972,46.1759,0.9936,1,15.0252,14.4077,0.1007,0.4206,0.4089,0.0862,0.8729,0.1485,0.0748,0.035,-0.075,0.5097,0.1036,0.0825,0.048,-0.0463,0.3878,0.0998,0.1102,0.0477,-0.075,0.8729,0.1513,0.2999,0.3025,-0.0204,0.6629,0.1007,0.1115,0.1043,-0.049,0.3913,0.0806,0.134,0.1259,0,0.3558,0.0741,0.1308,0.1146,-0.049,0.6629,0.1007
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7219.8,5716.9,0.877,17.4476,15.0646,0.9661,1,5.2041,4.3335,169.9622,46.3747,0.9931,1,15.1956,14.3007,0.1027,0.5214,0.5404,0.0614,0.9369,0.1947,0.1558,0.0478,-0.0498,0.9277,0.1919,0.1897,0.1222,-0.0255,0.8533,0.2046,0.1939,0.0881,-0.0498,0.9369,0.2223,0.3321,0.3287,0.014,0.5285,0.0921,0.1238,0.0983,-0.0612,0.509,0.1232,0.1346,0.1096,-0.0392,0.4483,0.1291,0.1456,0.1249,-0.0612,0.5285,0.1361
V20-09 A;#112;Ebene D - 2021-01-29 17.24.21.ndpi,PathCellObject,,PathAnnotationObject,Polygon,7311.5,5534.2,0.8769,32.9142,21.1569,0.924,1,8.0034,5.286,215.5998,52.4572,0.9846,1,17.9955,15.2314,0.1527,0.3044,0.3014,0.0526,0.5634,0.0892,0.0927,0.0784,-0.1054,0.5131,0.0902,0.1058,0.0766,-0.0914,0.5131,0.1015,0.1248,0.0986,-0.1054,0.5634,0.1178,0.171,0.1734,-0.0366,0.2977,0.0587,0.1101,0.1081,-0.0785,0.4021,0.0744,0.1176,0.1058,-0.0249,0.373,0.0763,0.1194,0.1196,-0.0785,0.4021,0.0755
