Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Detection probability,Nucleus: Area µm^2,Nucleus: Length µm,Nucleus: Circularity,Nucleus: Solidity,Nucleus: Max diameter µm,Nucleus: Min diameter µm,Cell: Area µm^2,Cell: Length µm,Cell: Circularity,Cell: Solidity,Cell: Max diameter µm,Cell: Min diameter µm,Nucleus/Cell area ratio,Hematoxylin: Nucleus: Mean,Hematoxylin: Nucleus: Median,Hematoxylin: Nucleus: Min,Hematoxylin: Nucleus: Max,Hematoxylin: Nucleus: Std.Dev.,Hematoxylin: Cytoplasm: Mean,Hematoxylin: Cytoplasm: Median,Hematoxylin: Cytoplasm: Min,Hematoxylin: Cytoplasm: Max,Hematoxylin: Cytoplasm: Std.Dev.,Hematoxylin: Membrane: Mean,Hematoxylin: Membrane: Median,Hematoxylin: Membrane: Min,Hematoxylin: Membrane: Max,Hematoxylin: Membrane: Std.Dev.,Hematoxylin: Cell: Mean,Hematoxylin: Cell: Median,Hematoxylin: Cell: Min,Hematoxylin: Cell: Max,Hematoxylin: Cell: Std.Dev.,Eosin: Nucleus: Mean,Eosin: Nucleus: Median,Eosin: Nucleus: Min,Eosin: Nucleus: Max,Eosin: Nucleus: Std.Dev.,Eosin: Cytoplasm: Mean,Eosin: Cytoplasm: Median,Eosin: Cytoplasm: Min,Eosin: Cytoplasm: Max,Eosin: Cytoplasm: Std.Dev.,Eosin: Membrane: Mean,Eosin: Membrane: Median,Eosin: Membrane: Min,Eosin: Membrane: Max,Eosin: Membrane: Std.Dev.,Eosin: Cell: Mean,Eosin: Cell: Median,Eosin: Cell: Min,Eosin: Cell: Max,Eosin: Cell: Std.Dev.
V20-09 A;#104;Ebene E - 2021-01-29 16.15.29.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29929.3,1448.2,0.8402,45.0233,24.4349,0.9476,0.9975,8.6868,6.5436,244.2923,55.745,0.9879,1,18.6814,16.5229,0.1843,0.2764,0.2626,0.0084,0.6385,0.1254,0.0515,0.0346,-0.0407,0.4609,0.0606,0.0365,0.0237,-0.0125,0.2025,0.0424,0.0931,0.0552,-0.0407,0.6385,0.1163,0.0997,0.0889,-0.0205,0.2774,0.0556,0.0376,0.0245,-0.0342,0.2073,0.0414,0.0321,0.0203,-0.0129,0.1575,0.0351,0.0491,0.0363,-0.0342,0.2774,0.0505
V20-09 A;#104;Ebene E - 2021-01-29 16.15.29.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29901.5,1440.5,0.8381,27.3529,19.4699,0.9068,1,7.3374,4.9162,201.8712,50.7944,0.9832,1,17.3348,14.8953,0.1355,0.289,0.2672,0.0086,0.6116,0.1008,0.057,0.0389,-0.0425,0.4107,0.0601,0.0428,0.0252,-0.0331,0.1965,0.0533,0.0885,0.0553,-0.0425,0.6116,0.104,0.1085,0.1081,0.012,0.2586,0.0418,0.0388,0.0257,-0.0336,0.2678,0.0423,0.0358,0.0213,-0.0202,0.1333,0.0372,0.0482,0.0345,-0.0336,0.2678,0.0485
V20-09 A;#104;Ebene E - 2021-01-29 16.15.29.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29925,1431.4,0.8239,27.2297,21.2507,0.7577,0.9932,8.9912,4.0565,210.7407,52.562,0.9585,0.9993,18.9448,14.0432,0.1292,0.2056,0.193,0.0537,0.3834,0.0671,0.0682,0.0481,-0.0673,0.5498,0.0746,0.0468,0.0363,-0.0673,0.2709,0.053,0.086,0.0589,-0.0673,0.5498,0.0869,0.1136,0.1152,-0.027,0.2141,0.0376,0.0788,0.0803,-0.0549,0.2888,0.0492,0.065,0.0577,-0.0151,0.2112,0.0439,0.0833,0.0853,-0.0549,0.2888,0.0493
V20-09 A;#104;Ebene E - 2021-01-29 16.15.29.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29812.1,1406.9,0.8234,23.2981,19.8065,0.7463,0.9858,8.316,3.5519,199.4062,51.0749,0.9606,0.9989,18.3127,13.5524,0.1168,0.3652,0.3213,0.0978,0.789,0.1465,0.0625,0.0429,-0.0274,0.4822,0.0681,0.0572,0.0237,-0.0274,0.3526,0.0748,0.0978,0.0625,-0.0274,0.789,0.1266,0.1357,0.1361,-0.0399,0.2649,0.0457,0.0428,0.0228,-0.0601,0.2105,0.0482,0.0348,0.0108,-0.0145,0.2105,0.0473,0.0536,0.0386,-0.0601,0.2649,0.0564
V20-09 A;#104;Ebene E - 2021-01-29 16.15.29.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29913.1,1443.3,0.8035,34.4197,21.4779,0.9376,1,7.9024,5.7354,219.0378,52.8058,0.9871,1,17.8909,15.6925,0.1571,0.2241,0.2155,0.039,0.5938,0.0896,0.0471,0.0255,-0.0465,0.3944,0.0549,0.0425,0.0203,-0.0228,0.2903,0.0549,0.0748,0.0431,-0.0465,0.5938,0.0891,0.0841,0.082,-0.0096,0.2316,0.0385,0.0341,0.0181,-0.0335,0.1826,0.0402,0.0271,0.0104,-0.0128,0.1536,0.0357,0.0419,0.0281,-0.0335,0.2316,0.0439
V20-09 A;#104;Ebene E - 2021-01-29 16.15.29.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29799.5,1400.9,0.7891,57.0202,28.0243,0.9124,1,10.7878,6.9595,274.0915,59.3346,0.9783,1,20.7487,16.9138,0.208,0.1728,0.1582,-0,0.4265,0.0734,0.0834,0.0244,-0.0207,0.5665,0.1199,0.0895,0.0061,-0.0163,0.5424,0.139,0.1021,0.0739,-0.0207,0.5665,0.1175,0.0829,0.0767,-0.0281,0.2255,0.0427,0.0517,0.0089,-0.032,0.2869,0.0682,0.0568,0.0085,-0.0116,0.2543,0.0745,0.0582,0.0386,-0.032,0.2869,0.065
V20-09 A;#104;Ebene E - 2021-01-29 16.15.29.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29822,1414.2,0.7402,21.8807,20.1873,0.6747,0.9414,8.3559,3.8217,199.3548,51.3602,0.9497,0.9952,18.3306,13.7113,0.1098,0.2808,0.2802,0.082,0.5221,0.0821,0.0651,0.0464,-0.0302,0.6357,0.0786,0.0669,0.0349,-0.0081,0.6357,0.108,0.0889,0.0591,-0.0302,0.6357,0.1039,0.1269,0.1242,-0.0126,0.2217,0.0393,0.0416,0.0282,-0.052,0.2355,0.0455,0.0439,0.0249,-0.0149,0.2198,0.0509,0.051,0.0396,-0.052,0.2355,0.0522
V20-09 A;#104;Ebene E - 2021-01-29 16.15.29.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29798.6,1392.3,0.7132,13.4842,16.751,0.6039,0.9643,7.3998,2.2885,174.1604,48.0157,0.9493,0.9982,17.3893,12.2339,0.0774,0.3899,0.3975,0.1639,0.5636,0.099,0.0924,0.0758,-0.0221,0.5665,0.0865,0.0941,0.082,-0.0037,0.3311,0.0666,0.1153,0.0841,-0.0221,0.5665,0.1182,0.1922,0.1928,0.0807,0.2845,0.0392,0.0821,0.0831,-0.0307,0.2633,0.058,0.0868,0.0889,-0.0159,0.2357,0.0472,0.0906,0.0893,-0.0307,0.2845,0.0639
V20-09 A;#104;Ebene E - 2021-01-29 16.15.29.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29931.1,1431.1,0.6845,6.6791,11.3314,0.6537,0.9035,4.476,2.1109,139.6427,42.4053,0.9759,0.9979,14.4656,12.0934,0.0478,0.2543,0.2419,0.0309,0.3772,0.0738,0.0691,0.0456,-0.0647,0.3834,0.0746,0.0593,0.0401,-0.0647,0.337,0.068,0.0779,0.0483,-0.0647,0.3834,0.0843,0.1165,0.1127,0.0564,0.1845,0.0298,0.0842,0.0852,-0.027,0.2235,0.04,0.0802,0.0788,0,0.1837,0.0429,0.0857,0.0873,-0.027,0.2235,0.0402
V20-09 A;#104;Ebene E - 2021-01-29 16.15.29.ndpi,PathCellObject,,PathAnnotationObject,Polygon,29776,1398,0.6812,24.4336,18.4004,0.9069,0.994,6.8316,4.8781,193.7065,49.7199,0.9847,0.9994,16.8026,14.8538,0.1261,0.2656,0.2782,0.0369,0.4528,0.083,0.1367,0.0965,-0.0678,0.6282,0.1423,0.059,0.0324,-0.0202,0.2741,0.0681,0.1529,0.1159,-0.0678,0.6282,0.1428,0.1424,0.1391,0.0114,0.2713,0.0501,0.0814,0.0739,-0.0778,0.3142,0.0734,0.0673,0.0466,-0.0193,0.2549,0.0662,0.089,0.0873,-0.0778,0.3142,0.0738
